Timestamp,What is your occupation?,Where do you spend most of your free time?,How much time do you spend on streaming services?,How much time do you spend on gaming?,How much time do you spend on social media?,What are you most worried about during this time?,ONE word that describes your mood right now.,Where are you located ?
29/03/2020 18:33:04,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,< 1 hour,"Job, Family, Economy",Relaxed,USA
29/03/2020 19:22:15,Home-maker,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,1 - 3 hours,"Family, Economy, Being stuck at home",Scared,USA
29/03/2020 19:46:05,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,< 1 hour,Family,Distancing ,USA
29/03/2020 20:55:33,Home-maker,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,1 - 3 hours,1 - 3 hours,Being stuck at home,Getting bored ,USA
29/03/2020 21:53:47,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,1 - 3 hours,Uni,Chill,Australia 
29/03/2020 22:01:37,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,1 - 3 hours,"Job, Family",Frustrated ,Australia 
29/03/2020 22:09:39,Professional,"Social Media (Twitter, Instagram, Facebook)",< 1 hour,< 1 hour,1 - 3 hours,Can’t travel,"Normal, as I am used to work from home ",India
29/03/2020 22:31:40,Professional,Working (I'm a workaholic !),< 1 hour,< 1 hour,< 1 hour,Overcoming the present situation ,Calm,India
30/03/2020 01:36:31,Student,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,< 1 hour,Being stuck at home,Bored,India
30/03/2020 02:01:49,Professional,"Social Media (Twitter, Instagram, Facebook)",1 - 3 hours,< 1 hour,1 - 3 hours,Being stuck at home,Boring.,India
30/03/2020 02:33:42,Retired,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,,1 - 3 hours,Family,"Self descipline, face situation be prepaired",India
30/03/2020 09:48:20,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,1 - 3 hours,"Job, Family, Economy",Stressed ,USA
30/03/2020 10:02:53,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,< 1 hour,"Family, Economy",Confused,USA
30/03/2020 10:04:19,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,1 - 3 hours,Being stuck at home,Content,USA
30/03/2020 11:12:17,Professional,"Other (Gardening, Cooking, Sleeping)",< 1 hour,< 1 hour,< 1 hour,Family,Worried ,India
30/03/2020 13:34:42,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,1 - 3 hours,Family,Okay,India
31/03/2020 13:39:51,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,< 1 hour,Not necessary for you to know,Bore,India
31/03/2020 15:30:07,Professional,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,1 - 3 hours,Unknown Consequences later,Juggling,USA
03/04/2020 20:00:48,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,1 - 3 hours,1 - 3 hours,"Job, Family, Economy",Going with the flow,Canada
